route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"393",3,447,"Eastbound Brentwood Park & Ride",0,311,70
"393",3,448,"Westbound Antioch BART",1,311,69
"394",3,449,"Westbound Pittsburg-Bay Point BART",1,311,74
"392",3,450,"Eastbound Antioch BART",0,311,62
"392",3,451,"Eastbound Antioch BART",0,312,62
"395",3,452,"Loop Antioch BART",0,312,73
"393",3,453,"Eastbound Brentwood Park & Ride",0,312,70
"393",3,454,"Westbound Antioch BART",1,312,69
"394",3,455,"Westbound Pittsburg-Bay Point BART",1,312,74
"392",3,456,"Eastbound Antioch BART",0,312,62
"395",3,457,"Loop Antioch BART",0,312,73
"393",3,458,"Eastbound Brentwood Park & Ride",0,313,70
"393",3,459,"Westbound Antioch BART",1,313,69
"394",3,460,"Westbound Pittsburg-Bay Point BART",1,313,74
"392",3,461,"Eastbound Antioch BART",0,313,62
"395",3,462,"Loop Antioch BART",0,313,73
"393",3,463,"Eastbound Brentwood Park & Ride",0,313,70
"393",3,464,"Westbound Antioch BART",1,313,69
"393",3,465,"Eastbound Brentwood Park & Ride",0,313,70
"393",3,466,"Westbound Antioch BART",1,313,69
"393",3,467,"Eastbound Brentwood Park & Ride",0,313,70
"391",1,468,"Westbound Pittsburg Center BART",1,112,47
"391",1,469,"Eastbound Brentwood Park & Ride",0,112,48
"300",1,470,"Westbound Antioch BART",1,113,26
"385",1,471,"Westbound Antioch BART",1,113,42
"300",1,472,"Eastbound Brentwood Park & Ride",0,113,27
"384",1,473,"Westbound Antioch BART",1,113,45
"383",1,474,"Westbound Tri Delta Transit",1,114,85
"390",1,475,"Westbound Pittsburg-Bay Point BART",1,114,16
"388",1,476,"Westbound Pittsburg-Bay Point BART",1,115,60
"387",1,477,"Eastbound Antioch BART",0,115,52
"300",1,478,"Eastbound Brentwood Park & Ride",0,115,27
"384",1,479,"Eastbound Brentwood Park & Ride",0,115,46
"383",1,480,"Westbound Tri Delta Transit",1,115,85
"383",1,481,"Eastbound Blue Goose Park",0,115,84
"384",1,482,"Westbound Antioch BART",1,115,45
"380",1,483,"Westbound Pittsburg-Bay Point BART",1,115,49
"201",1,484,"Westbound Concord BART",1,115,8
"201",1,485,"Eastbound Pittsburg-Bay Point BART",0,115,9
"387",1,486,"Eastbound Antioch BART",0,115,52
"384",1,487,"Eastbound Brentwood Park & Ride",0,115,46
"300",1,488,"Westbound Antioch BART",1,116,26
"380",1,489,"Westbound Pittsburg-Bay Point BART",1,116,49
"385",1,490,"Eastbound Brentwood Park & Ride",0,116,44
"391",1,491,"Westbound Pittsburg Center BART",1,116,47
"201",1,492,"Westbound Concord BART",1,116,8
"201",1,493,"Eastbound Pittsburg-Bay Point BART",0,116,9
"380",1,494,"Eastbound Antioch BART",0,117,50
"300",1,495,"Eastbound Brentwood Park & Ride",0,117,27
"300",1,496,"Westbound Antioch BART",1,117,26
"387",1,497,"Westbound Pittsburg-Bay Point BART",1,117,55
"380",1,498,"Eastbound Antioch BART",0,117,32
"380",1,499,"Westbound Pittsburg-Bay Point BART",1,117,49
"387",1,500,"Eastbound Antioch BART",0,117,52
"380",1,501,"Westbound Pittsburg-Bay Point BART",1,117,49
"390",1,502,"Eastbound Antioch BART",0,117,7
"300",1,503,"Eastbound Brentwood Park & Ride",0,117,27
"380",1,504,"Westbound Pittsburg-Bay Point BART",1,118,49
"389",1,505,"Loop Pittsburg-Bay Point BART",0,118,63
"388",1,506,"Eastbound Kaiser",0,118,54
"390",1,507,"Westbound Pittsburg-Bay Point BART",1,119,16
"387",1,508,"Eastbound Antioch BART",0,119,52
"384",1,509,"Eastbound Brentwood Park & Ride",0,119,46
"383",1,510,"Westbound Tri Delta Transit",1,119,85
"383",1,511,"Eastbound Blue Goose Park",0,119,84
"384",1,512,"Westbound Antioch BART",1,119,45
"201",1,513,"Westbound Concord BART",1,119,8
