id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
POINT (-122.1331241 37.7020462)_POINT (-122.126431 37.696938),,POINT (-122.1331241 37.7020462),POINT (-122.126431 37.696938),819.0795062510489,1,1,-1,-1,-1,,"LINESTRING (-122.1331241 37.7020462, -122.126431 37.696938)",auto,1,True
POINT (-122.027817 37.5893168)_POINT (-122.01723 37.590765),,POINT (-122.027817 37.5893168),POINT (-122.01723 37.590765),947.6824250534856,1,1,-1,-1,-1,,"LINESTRING (-122.027817 37.5893168, -122.01723 37.590765)",auto,1,True
POINT (-121.9514739 38.0234307)_POINT (-121.944248 38.01895),,POINT (-121.9514739 38.0234307),POINT (-121.944248 38.01895),806.4369880559944,1,1,-1,-1,-1,,"LINESTRING (-121.9514739 38.0234307, -121.944248 38.01895)",auto,1,True
POINT (-122.0632774 37.9015582)_POINT (-122.067379 37.905812),,POINT (-122.0632774 37.9015582),POINT (-122.067379 37.905812),594.9997616792444,1,1,-1,-1,-1,,"LINESTRING (-122.0632774 37.9015582, -122.067379 37.905812)",auto,1,True
POINT (-122.0571612 37.929923)_POINT (-122.056015 37.928463),,POINT (-122.0571612 37.929923),POINT (-122.056015 37.928463),191.16438462604182,1,1,-1,-1,-1,,"LINESTRING (-122.0571612 37.929923, -122.056015 37.928463)",auto,1,True
POINT (-122.4373082 37.6604897)_POINT (-122.444254 37.664437),,POINT (-122.4373082 37.6604897),POINT (-122.444254 37.664437),753.4797045706168,1,1,-1,-1,-1,,"LINESTRING (-122.4373082 37.6604897, -122.444254 37.664437)",auto,1,True
POINT (-122.0627985 37.911254)_POINT (-122.067379 37.905812),,POINT (-122.0627985 37.911254),POINT (-122.067379 37.905812),727.2172639336887,1,1,-1,-1,-1,,"LINESTRING (-122.0627985 37.911254, -122.067379 37.905812)",auto,1,True
POINT (-122.2543138 37.7985075)_POINT (-122.265232 37.797357),,POINT (-122.2543138 37.7985075),POINT (-122.265232 37.797357),968.889965310671,1,1,-1,-1,-1,,"LINESTRING (-122.2543138 37.7985075, -122.265232 37.797357)",auto,1,True
POINT (-122.1661682 37.7167215)_POINT (-122.160713 37.721806),,POINT (-122.1661682 37.7167215),POINT (-122.160713 37.721806),742.366251530929,1,1,-1,-1,-1,,"LINESTRING (-122.1661682 37.7167215, -122.160713 37.721806)",auto,1,True
POINT (-122.2265557 37.7819786)_POINT (-122.224067 37.774873),,POINT (-122.2265557 37.7819786),POINT (-122.224067 37.774873),820.7407917452418,1,1,-1,-1,-1,,"LINESTRING (-122.2265557 37.7819786, -122.224067 37.774873)",auto,1,True
POINT (-122.4202434 37.7438747)_POINT (-122.418518 37.752422),,POINT (-122.4202434 37.7438747),POINT (-122.418518 37.752422),963.5254926884046,1,1,-1,-1,-1,,"LINESTRING (-122.4202434 37.7438747, -122.418518 37.752422)",auto,1,True
POINT (-122.44316 37.7196238)_POINT (-122.44751 37.721758),,POINT (-122.44316 37.7196238),POINT (-122.44751 37.721758),450.7317445121535,1,1,-1,-1,-1,,"LINESTRING (-122.44316 37.7196238, -122.44751 37.721758)",auto,1,True
POINT (-122.2275801 37.7741755)_POINT (-122.224067 37.774873),,POINT (-122.2275801 37.7741755),POINT (-122.224067 37.774873),318.72009265900346,1,1,-1,-1,-1,,"LINESTRING (-122.2275801 37.7741755, -122.224067 37.774873)",auto,1,True
POINT (-121.9019886 37.4089281)_POINT (-121.890803 37.409836),,POINT (-121.9019886 37.4089281),POINT (-121.890803 37.409836),994.2119464768673,1,1,-1,-1,-1,,"LINESTRING (-121.9019886 37.4089281, -121.890803 37.409836)",auto,1,True
POINT (-122.3152165 37.9226826)_POINT (-122.316868 37.925205),,POINT (-122.3152165 37.9226826),POINT (-122.316868 37.925205),316.0308138402267,1,1,-1,-1,-1,,"LINESTRING (-122.3152165 37.9226826, -122.316868 37.925205)",auto,1,True
POINT (-122.2707274 37.8004341)_POINT (-122.271589 37.803471),,POINT (-122.2707274 37.8004341),POINT (-122.271589 37.803471),346.4562813726335,1,1,-1,-1,-1,,"LINESTRING (-122.2707274 37.8004341, -122.271589 37.803471)",auto,1,True
POINT (-122.2707274 37.8004341)_POINT (-122.265232 37.797357),,POINT (-122.2707274 37.8004341),POINT (-122.265232 37.797357),592.4452568111991,1,1,-1,-1,-1,,"LINESTRING (-122.2707274 37.8004341, -122.265232 37.797357)",auto,1,True
POINT (-122.2707274 37.8004341)_POINT (-122.268722 37.80806),,POINT (-122.2707274 37.8004341),POINT (-122.268722 37.80806),867.0419588941577,1,1,-1,-1,-1,,"LINESTRING (-122.2707274 37.8004341, -122.268722 37.80806)",auto,1,True
POINT (-122.2647353 37.8485452)_POINT (-122.26975 37.853069),,POINT (-122.2647353 37.8485452),POINT (-122.26975 37.853069),669.2486632174733,1,1,-1,-1,-1,,"LINESTRING (-122.2647353 37.8485452, -122.26975 37.853069)",auto,1,True
POINT (-122.08317 37.6739167)_POINT (-122.086941 37.669731),,POINT (-122.08317 37.6739167),POINT (-122.086941 37.669731),572.2876599314742,1,1,-1,-1,-1,,"LINESTRING (-122.08317 37.6739167, -122.086941 37.669731)",auto,1,True
POINT (-122.2962183 37.8063266)_POINT (-122.295144 37.804923),,POINT (-122.2962183 37.8063266),POINT (-122.295144 37.804923),182.59627800569254,1,1,-1,-1,-1,,"LINESTRING (-122.2962183 37.8063266, -122.295144 37.804923)",auto,1,True
POINT (-122.2847803 37.8057305)_POINT (-122.295144 37.804923),,POINT (-122.2847803 37.8057305),POINT (-122.295144 37.804923),915.9433062186663,1,1,-1,-1,-1,,"LINESTRING (-122.2847803 37.8057305, -122.295144 37.804923)",auto,1,True
POINT (-122.2799551 37.80427)_POINT (-122.271589 37.803471),,POINT (-122.2799551 37.80427),POINT (-122.271589 37.803471),741.196741182267,1,1,-1,-1,-1,,"LINESTRING (-122.2799551 37.80427, -122.271589 37.803471)",auto,1,True
POINT (-122.2770981 37.8103325)_POINT (-122.268722 37.80806),,POINT (-122.2770981 37.8103325),POINT (-122.268722 37.80806),778.8928368501709,1,1,-1,-1,-1,,"LINESTRING (-122.2770981 37.8103325, -122.268722 37.80806)",auto,1,True
POINT (-122.2770981 37.8103325)_POINT (-122.271589 37.803471),,POINT (-122.2770981 37.8103325),POINT (-122.271589 37.803471),904.5393572810449,1,1,-1,-1,-1,,"LINESTRING (-122.2770981 37.8103325, -122.271589 37.803471)",auto,1,True
