zone_id,geometry
1368,Point (-122.64014265 38.52233827)
1369,Point (-122.74791169 38.52864039)
1370,Point (-122.79236519 38.50418095)
1371,Point (-122.75137199 38.48270831)
1372,Point (-122.73668437 38.4649589)
1373,Point (-122.79903896 38.47175283)
1374,Point (-122.74948237 38.45724976)
1375,Point (-122.76163836 38.46112977)
1376,Point (-122.73769564 38.45075056)
1377,Point (-122.73374831 38.44093275)
1378,Point (-122.73887034 38.43383991)
1379,Point (-122.80210453 38.4334376)
1380,Point (-122.75932378 38.44319356)
1381,Point (-122.73164955 38.4243209)
1382,Point (-122.72258532 38.4199496)
1383,Point (-122.72922773 38.38792559)
1384,Point (-122.7681741 38.39534496)
1385,Point (-122.84339014 38.41297518)
1386,Point (-122.80081603 38.38041686)
1387,Point (-122.82823704 38.38190404)
1388,Point (-122.79554655 38.33727784)
1389,Point (-122.87491338 38.34234293)
1390,Point (-122.88930398 38.4205687)
1391,Point (-123.0099879 38.47399963)
1392,Point (-123.00734885 38.53093969)
1393,Point (-122.90872164 38.51056783)
1394,Point (-122.90589 38.47088365)
1395,Point (-122.84443218 38.52889557)
1396,Point (-122.74088603 38.57780847)
1397,Point (-122.79390203 38.53714524)
1398,Point (-122.82316628 38.61276707)
1399,Point (-122.86846775 38.61258405)
1400,Point (-122.85806763 38.61899623)
1401,Point (-122.95780253 38.61595184)
1402,Point (-122.82341368 38.72986533)
1403,Point (-123.08979155 38.78414082)
1404,Point (-123.22006078 38.63220339)
1405,Point (-122.98312069 38.36580152)
1,Point (-122.23276098 37.86728288)
2,Point (-122.25090539 37.84812661)
3,Point (-122.25591954 37.84061461)
4,Point (-122.25913059 37.84822965)
5,Point (-122.26640454 37.8486361)
6,Point (-122.26645114 37.84202838)
7,Point (-122.27378099 37.8419299)
8,Point (-122.28479137 37.84548227)
9,Point (-122.2816373 37.83953117)
10,Point (-122.27359312 37.83134379)
11,Point (-122.26549055 37.83059713)
12,Point (-122.25952657 37.83078889)
13,Point (-122.26830793 37.8181951)
14,Point (-122.27485563 37.82086288)
15,Point (-122.28207954 37.82306348)
16,Point (-122.28291986 37.81743777)
17,Point (-122.30489405 37.81987864)
18,Point (-122.29953706 37.8096064)
19,Point (-122.31471998 37.80300268)
20,Point (-122.29364689 37.79773429)
21,Point (-122.29159474 37.80672728)
22,Point (-122.2952465 37.80949459)
23,Point (-122.28961932 37.81275536)
24,Point (-122.28391223 37.81227116)
25,Point (-122.28616396 37.80607573)
26,Point (-122.28142819 37.80462375)
27,Point (-122.27857187 37.81056144)
28,Point (-122.27315527 37.80898936)
29,Point (-122.26843408 37.8074137)
30,Point (-122.27217763 37.8008821)
31,Point (-122.27696879 37.8027868)
32,Point (-122.27764543 37.7966575)
33,Point (-122.26757753 37.79543253)
34,Point (-122.26060231 37.80493923)
35,Point (-122.26115375 37.81744023)
36,Point (-122.25512074 37.81382785)
37,Point (-122.25662045 37.81060902)
38,Point (-122.24296666 37.81472625)
39,Point (-122.25030307 37.81746118)
40,Point (-122.25542068 37.82346051)
41,Point (-122.25177534 37.82901158)
42,Point (-122.23582803 37.83596224)
43,Point (-122.23961338 37.84521651)
44,Point (-122.21626092 37.84618598)
45,Point (-122.21713038 37.82624605)
46,Point (-122.20381428 37.83455232)
47,Point (-122.19222807 37.81963565)
48,Point (-122.20819774 37.81324981)
49,Point (-122.21428917 37.8054021)
50,Point (-122.22263504 37.80379925)
51,Point (-122.22862115 37.80827327)
52,Point (-122.23327933 37.81141859)
53,Point (-122.24481654 37.80527369)
54,Point (-122.25448966 37.80063461)
55,Point (-122.24924478 37.79502039)
56,Point (-122.24443634 37.79818613)
57,Point (-122.23844456 37.80064907)
58,Point (-122.23085639 37.79794731)
59,Point (-122.23421979 37.79372465)
60,Point (-122.23944055 37.78920396)
61,Point (-122.2507059 37.78703378)
62,Point (-122.22871865 37.77352569)
63,Point (-122.23176051 37.78478689)
64,Point (-122.22759345 37.78172842)
65,Point (-122.22612431 37.78900613)
66,Point (-122.22304299 37.79518555)
67,Point (-122.21810677 37.78778372)
68,Point (-122.21139212 37.79435063)
69,Point (-122.20342474 37.80304285)
70,Point (-122.19593258 37.79777486)
71,Point (-122.19142532 37.79302068)
72,Point (-122.20359083 37.78767494)
73,Point (-122.21290042 37.78132432)
74,Point (-122.22040847 37.77749894)
75,Point (-122.2128096 37.76298398)
76,Point (-122.20781337 37.77062745)
77,Point (-122.19867155 37.76910983)
78,Point (-122.2043272 37.7772265)
79,Point (-122.19430069 37.77625942)
80,Point (-122.18777347 37.78137306)
81,Point (-122.18541124 37.78815565)
82,Point (-122.18400293 37.80281726)
83,Point (-122.15848858 37.78505423)
84,Point (-122.17663919 37.77470309)
85,Point (-122.16579404 37.77073753)
86,Point (-122.17205651 37.76412432)
87,Point (-122.17961783 37.75993772)
88,Point (-122.18339665 37.76579215)
89,Point (-122.19010155 37.76844423)
90,Point (-122.19809734 37.75833949)
91,Point (-122.18991971 37.75364992)
92,Point (-122.21197891 37.72840789)
93,Point (-122.18456632 37.73165794)
94,Point (-122.17888617 37.72853794)
95,Point (-122.17436668 37.73712592)
96,Point (-122.181411 37.74391307)
97,Point (-122.18498925 37.74980009)
98,Point (-122.17377789 37.75267036)
99,Point (-122.16711211 37.75588415)
100,Point (-122.15712463 37.75977692)
101,Point (-122.13663591 37.76176729)
102,Point (-122.13283134 37.74334119)
103,Point (-122.15470179 37.74733582)
104,Point (-122.15835426 37.74460658)
105,Point (-122.16731762 37.74603146)
106,Point (-122.1633195 37.7400993)
107,Point (-122.29205551 37.89471138)
108,Point (-122.29835508 37.89447455)
109,Point (-122.30669302 37.89262799)
110,Point (-122.30810101 37.88532498)
111,Point (-122.29611157 37.88651041)
112,Point (-122.28846379 37.88693738)
113,Point (-122.26771177 37.89949355)
114,Point (-122.27615941 37.89724621)
115,Point (-122.28274542 37.89113072)
116,Point (-122.27255081 37.88836373)
117,Point (-122.2610268 37.89175555)
118,Point (-122.2569745 37.88398441)
119,Point (-122.27164948 37.88190309)
120,Point (-122.27955946 37.88027356)
121,Point (-122.29088514 37.87931893)
122,Point (-122.30327618 37.86545888)
123,Point (-122.29789085 37.87329066)
124,Point (-122.28916224 37.87277508)
125,Point (-122.2793036 37.8739148)
126,Point (-122.27109443 37.87514734)
127,Point (-122.26177635 37.87724618)
128,Point (-122.25548146 37.87381383)
129,Point (-122.25062011 37.86787424)
130,Point (-122.26152339 37.86686132)
131,Point (-122.27070081 37.86784966)
132,Point (-122.2784838 37.86675496)
133,Point (-122.28762678 37.8657222)
134,Point (-122.29501157 37.86445904)
135,Point (-122.28552515 37.85728518)
136,Point (-122.27731876 37.85839214)
137,Point (-122.26957908 37.85933734)
138,Point (-122.26036061 37.8589901)
139,Point (-122.26085268 37.86325073)
140,Point (-122.25015266 37.86183851)
141,Point (-122.24551818 37.85471938)
142,Point (-122.26896825 37.85250201)
143,Point (-122.25891021 37.85474859)
144,Point (-122.27609877 37.85046008)
145,Point (-122.28297908 37.850521)
146,Point (-122.29208551 37.83802928)
147,Point (-122.22650891 37.82157961)
148,Point (-122.2420407 37.82453886)
149,Point (-122.23297017 37.76448483)
150,Point (-122.24874086 37.77393118)
151,Point (-122.26921327 37.78035015)
152,Point (-122.285784 37.78635652)
153,Point (-122.31190417 37.78441789)
154,Point (-122.28509742 37.77806467)
155,Point (-122.2861348 37.772071)
156,Point (-122.27058961 37.77155464)
157,Point (-122.25968204 37.76975697)
158,Point (-122.24862976 37.76628588)
159,Point (-122.23567406 37.7593952)
160,Point (-122.24125362 37.7546491)
161,Point (-122.23781939 37.73303473)
162,Point (-122.24734857 37.74213023)
163,Point (-122.25223651 37.75986303)
164,Point (-122.26044854 37.76142036)
165,Point (-122.27177214 37.76529389)
166,Point (-122.06718986 37.75725141)
167,Point (-122.06257199 37.72131104)
168,Point (-122.08388019 37.71912844)
169,Point (-122.10242424 37.72013248)
170,Point (-122.11017893 37.7052156)
171,Point (-122.09816812 37.70417236)
172,Point (-122.08313543 37.705834)
173,Point (-122.06588504 37.69889289)
174,Point (-122.08376101 37.69802035)
175,Point (-122.07942821 37.69270398)
176,Point (-122.06847906 37.68784094)
177,Point (-122.08392918 37.68540873)
178,Point (-122.14756507 37.73525122)
179,Point (-122.15722734 37.73241417)
180,Point (-122.16671892 37.73023301)
181,Point (-122.18546125 37.71056922)
182,Point (-122.16990649 37.71873486)
183,Point (-122.15612001 37.72217594)
184,Point (-122.14386218 37.72655791)
185,Point (-122.12634605 37.72101453)
186,Point (-122.13643104 37.71539402)
187,Point (-122.144749 37.71185134)
188,Point (-122.13433904 37.70170683)
189,Point (-122.14794408 37.70132152)
190,Point (-122.15818084 37.69800892)
191,Point (-122.17092877 37.68677558)
192,Point (-122.15633225 37.68405533)
193,Point (-122.14459395 37.6857252)
194,Point (-122.11464818 37.6874626)
195,Point (-122.12438839 37.69849085)
196,Point (-122.11442148 37.69884465)
197,Point (-122.11150101 37.69227886)
198,Point (-121.99087996 37.64961742)
199,Point (-122.04769899 37.65470242)
200,Point (-122.05175536 37.68572606)
201,Point (-122.06574558 37.6806975)
202,Point (-122.08429658 37.67376159)
203,Point (-122.09436094 37.6807115)
204,Point (-122.10595167 37.67852043)
205,Point (-122.11692383 37.67835167)
206,Point (-122.13063547 37.67913143)
207,Point (-122.14880617 37.67196238)
208,Point (-122.13858012 37.66902386)
209,Point (-122.12467426 37.67149983)
210,Point (-122.11329593 37.66841226)
211,Point (-122.09276994 37.66616761)
212,Point (-122.06629139 37.67142457)
213,Point (-122.04220103 37.66661223)
214,Point (-122.0707227 37.65874777)
215,Point (-122.07987489 37.65675815)
216,Point (-122.08613761 37.65178546)
217,Point (-122.10138344 37.66207327)
218,Point (-122.09537708 37.65356337)
219,Point (-122.11054591 37.6604166)
220,Point (-122.10250759 37.64723723)
221,Point (-122.12357924 37.61292303)
222,Point (-122.11263263 37.64323869)
223,Point (-122.0939085 37.63616057)
224,Point (-122.08855071 37.64275836)
225,Point (-122.08028011 37.64394284)
226,Point (-122.08146332 37.63528485)
227,Point (-122.07226717 37.63639237)
228,Point (-122.06969955 37.64320736)
229,Point (-122.0623624 37.64279596)
230,Point (-122.03000945 37.61895423)
231,Point (-122.04015118 37.61795816)
232,Point (-122.07751811 37.62617887)
233,Point (-122.05898981 37.61804926)
234,Point (-122.08941703 37.62807703)
235,Point (-122.08350819 37.61830761)
236,Point (-121.98240812 37.61578862)
237,Point (-122.02391265 37.60003597)
238,Point (-122.04389393 37.60099152)
239,Point (-122.07197529 37.60146409)
240,Point (-122.07768754 37.58698341)
241,Point (-122.07624564 37.57773013)
242,Point (-122.06999099 37.58520052)
243,Point (-122.04960166 37.59095131)
244,Point (-122.0289684 37.58894518)
245,Point (-122.01547713 37.58741847)
246,Point (-122.08432262 37.59810956)
247,Point (-122.0868614 37.5819827)
248,Point (-121.96324985 37.58497521)
249,Point (-121.99017874 37.57705225)
250,Point (-122.00313965 37.57167424)
251,Point (-122.02004514 37.56935744)
252,Point (-122.03865755 37.57359555)
253,Point (-122.04177261 37.58235202)
254,Point (-122.07355398 37.57144655)
255,Point (-122.02252643 37.50694134)
256,Point (-122.05408214 37.57268658)
257,Point (-122.05811679 37.58387354)
258,Point (-122.03198065 37.56335311)
259,Point (-122.02265961 37.55692865)
260,Point (-122.01297941 37.55330304)
261,Point (-121.99277282 37.5590276)
262,Point (-121.96895018 37.55787007)
263,Point (-121.96876546 37.542613)
264,Point (-121.97858477 37.54405941)
265,Point (-121.98609875 37.55089054)
266,Point (-121.93681121 37.55866127)
267,Point (-121.95107908 37.54815099)
268,Point (-121.94347231 37.5346911)
269,Point (-121.9620393 37.53160368)
270,Point (-121.97492099 37.53125282)
271,Point (-121.98832369 37.53724193)
272,Point (-122.00270393 37.5463084)
273,Point (-122.00926791 37.53713714)
274,Point (-121.9943283 37.52939749)
275,Point (-121.97557471 37.51799563)
276,Point (-121.95285903 37.51840527)
277,Point (-121.96150005 37.51670223)
278,Point (-121.93203727 37.52541609)
279,Point (-121.92841602 37.50739468)
280,Point (-121.9047986 37.52838075)
281,Point (-121.8973003 37.48739081)
282,Point (-121.91332426 37.47104275)
283,Point (-121.92231768 37.48560981)
284,Point (-122.03765879 37.55120017)
285,Point (-122.0469647 37.54260944)
286,Point (-122.04965043 37.51534408)
287,Point (-122.03665021 37.53623177)
288,Point (-122.02875495 37.53427955)
289,Point (-122.00916155 37.5178156)
290,Point (-121.8913107 37.71818819)
291,Point (-121.91665063 37.72238193)
292,Point (-121.91877101 37.71044978)
293,Point (-121.93375361 37.71260222)
294,Point (-121.9667053 37.7096076)
295,Point (-121.93207222 37.65306104)
296,Point (-121.91408766 37.67052852)
297,Point (-121.91186866 37.68864792)
298,Point (-121.88786897 37.68098554)
299,Point (-121.88335386 37.67194226)
300,Point (-121.90109842 37.66911888)
301,Point (-121.88870883 37.65696881)
302,Point (-121.80872015 37.55660388)
303,Point (-121.85686796 37.68053515)
304,Point (-121.84028716 37.72396352)
305,Point (-121.88339476 37.69426567)
306,Point (-121.8659671 37.65983526)
307,Point (-121.83027007 37.66452526)
308,Point (-121.63780058 37.63714636)
