id,vehicle_trip_tripId,vehicle_trip_routeId,vehicle_trip_directionId,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_currentStopSequence,vehicle_currentStatus,vehicle_stopId,vehicle_timestamp,header_timestamp
RTVP:V:7300,,,,7300,,33.65904,-112.11435,183.0,38458.0,28.16352,,,,2025-10-04 00:21:13,2025-10-04 00:21:46
RTVP:V:7328,,,,7328,,33.45141,-112.10833,180.0,36959.0,16.09344,,,,2025-10-04 00:21:12,2025-10-04 00:21:46
RTVP:V:6746,,,,6746,,33.37764,-112.130325,90.0,10053.0,16.54048,,,,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:V:6844,,,,6844,,33.421806,-111.98641,93.0,56481.0,17.43456,,,,2025-10-04 00:21:39,2025-10-04 00:21:46
RTVP:V:5717,,,,5717,,33.461456,-112.01549,284.0,3452.0,9.83488,,,,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:V:6881,,,,6881,,33.550484,-112.26747,42.0,3197.0,23.24608,,,,2025-10-04 00:21:37,2025-10-04 00:21:46
RTVP:V:7017,,,,7017,,33.6386,-112.18728,89.0,10211.0,0.0,,,,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:V:6720,,,,6720,,33.28463,-111.831795,301.0,2341.0,21.45792,,,,2025-10-04 00:21:40,2025-10-04 00:21:46
RTVP:T:22561891,22561891,533,1.0,7029,Superstition Spgs,33.446945,-112.09865,92.0,109891.0,0.0,1.0,STOPPED_AT,1453,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:T:22788128,22788128,SME,1.0,7192,24th St+Baseline,33.451443,-112.08044,89.0,6930.0,8.04672,5.0,IN_TRANSIT_TO,1809,2025-10-04 00:21:39,2025-10-04 00:21:46
RTVP:T:22788260,22788260,SMRT,0.0,3014,15th St+Cinnabar,33.56957,-112.06955,180.0,26099.0,9.38784,24.0,INCOMING_AT,4033,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22788277,22788277,SMRT,1.0,3016,19th Ave+Shangri-la,33.567234,-112.073906,0.0,13819.0,0.0,11.0,INCOMING_AT,320,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22788123,22788123,SMW,1.0,7313,27th Ave+Baseline,33.451385,-112.072784,256.0,166.0,4.02336,2.0,IN_TRANSIT_TO,59,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22561336,22561336,STRN,1.0,1625,Priest+Elliot,33.386444,-111.92646,180.0,4279.0,0.0,6.0,INCOMING_AT,5286,2025-10-04 00:21:37,2025-10-04 00:21:46
RTVP:T:22561335,22561335,STRN,1.0,1632,Priest+Elliot,33.349236,-111.95879,292.0,51835.0,5.36448,40.0,INCOMING_AT,3505,2025-10-04 00:21:00,2025-10-04 00:21:46
RTVP:V:6803,,,,6803,,33.381535,-111.84253,356.0,0.0,0.0,,,,2025-10-04 00:21:22,2025-10-04 00:21:46
RTVP:V:6805,,,,6805,,33.474,-111.73854,161.0,0.0,0.0,,,,2025-10-04 00:21:20,2025-10-04 00:21:46
RTVP:V:5601,,,,5601,,33.45344,-112.22751,188.0,0.0,0.0,,,,2025-10-04 00:21:22,2025-10-04 00:21:46
RTVP:V:6816,,,,6816,,33.430843,-111.97203,2.0,0.0,0.0,,,,2025-10-04 00:21:31,2025-10-04 00:21:46
RTVP:V:5620,,,,5620,,33.454407,-112.22801,346.0,0.0,0.0,,,,2025-10-04 00:21:32,2025-10-04 00:21:46
RTVP:T:22804251,22804251,3,0.0,5611,Phoenix Zoo,33.450172,-112.27287,90.0,0.0,6.25856,16.0,IN_TRANSIT_TO,1826,2025-10-04 00:20:19,2025-10-04 00:21:46
RTVP:V:6822,,,,6822,,33.430477,-111.97158,359.0,0.0,0.0,,,,2025-10-04 00:21:33,2025-10-04 00:21:46
RTVP:V:6718,,,,6718,,33.43048,-111.97165,178.0,0.0,0.0,,,,2025-10-04 00:21:19,2025-10-04 00:21:46
RTVP:V:6716,,,,6716,,33.4738,-111.73696,187.0,0.0,0.0,,,,2025-10-04 00:21:31,2025-10-04 00:21:46
RTVP:V:6724,,,,6724,,33.430477,-111.971695,177.0,0.0,0.0,,,,2025-10-04 00:21:37,2025-10-04 00:21:46
