stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
8-500,882593,SANTA RITA RD & PICKENS LN, Unit NB,37.694833,-121.877718,,,,,,0
8-902,882631,VALLEY AVE & VIA DE LOS MILAGROS NB,,37.674429,-121.898341,,,,,,0
8-905,882634,CAMERON AVE & PALMER DR, Unit WB & PALMER DR,37.685148,-121.867775,,,,,,0
8-199,882639,BERNAL AVE & ANGELA ST,0 BERNAL AVE,37.65375,-121.861893,,,,,,0
8-238,882662,BERNAL AVE & KOTTINGER DR, Unit NB,37.654873,-121.859622,,,,,,0
8-221,882665,RUBY HILL DR & PIEMONTE DR, Unit SB & PIEMONTE DR,37.647305,-121.818382,,,,,,0
6-017,882671,CENTRAL PKWY & HIBERNIA DR, Unit EB,37.708551,-121.885587,,,,,,0
6-018,882672,CENTRAL PKWY & KILLIAN ST, Unit EB,37.708528,-121.878105,,,,,,0
6-019,882673,CENTRAL PKWY & GLYNNIS ROSE DR, Unit EB,37.709342,-121.875165,,,,,,0
6-023,882675,CENTRAL PKWY & GLYNNIS ROSE DR, Unit WB & GLYNNIS ROSE DR,37.70977,-121.874357,,,,,,0
6-024,882676,CENTRAL PKWY & ASPEN ST,,37.708734,-121.882764,,,,,,0
6-026,882681,CENTRAL PKWY & CHANCERY LN, Unit EB,37.709275,-121.865727,,,,,,0
6-027,882682,CENTRAL PKWY & GRAFTON ST EB,,37.708689,-121.86311,,,,,,0
6-028,882683,DUBLIN BLVD & KEEGAN ST, Unit WB & CONNECTING ROAD,37.704774,-121.861223,,,,,,0
6-029,882684,DUBLIN BLVD & GRAFTON ST WB, Unit WB & CONNECTING ROAD,37.705831,-121.868327,,,,,,0
8-203,882696,KOLL CENTER PKWY & KOLL CENTER DR, Unit WB & Wild Rose PL,37.658631,-121.900022,,,,,,0
8-204,882698,6700 KOLL CENTER PKWY, Unit NB & Wild Rose PL,37.660336,-121.902028,,,,,,0
8-205,882699,6900 KOLL CENTER PKWY, Unit EB & Wild Rose PL,37.662173,-121.900699,,,,,,0
8-206,882700,PARKSIDE DR & CHERYL CIR,,37.680514,-121.897208,,,,,,0
8-207,882701,PARKSIDE DR & MARILYN CT,,37.681011,-121.895695,,,,,,0
8-208,882702,PARKSIDE DR & CURTIS CIR,,37.681821,-121.893961,,,,,,0
8-209,882703,PARKSIDE DR & MELANIE CIR,,37.682515,-121.892323,,,,,,0
8-210,882704,PARKSIDE DR & ANASTACIA CT,,37.683316,-121.890776,,,,,,0
8-211,882705,PARKSIDE DR & JOANNE CIR,,37.683604,-121.889982,,,,,,0
8-212,882706,PARKSIDE DR & GLENDA CT,,37.684538,-121.887388,,,,,,0
7-033,882707,MUIRWOOD DR & LAS POSITAS BLVD NB,,37.677553,-121.916403,,,,,,0
7-034,882708,MUIRWOOD PARK, Unit NB,37.684084,-121.918555,,,,,,0
7-035,882709,SPRINGDALE DR & CHESTNUT WY, Unit NB,37.689207,-121.92454,,,,,,0
7-036,882710,STONERIDGE MALL RD & SHERATON HOTEL,,37.697747,-121.930638,,,,,,0
5-096,882712,DUBLIN BLVD & CLARK AVE WB,,37.705867,-121.92141,,,,,,0
2-087,882714,LAS POSITAS RD & NORTH MINES RD, Unit WB,37.699378,-121.763689,,,,,,0
7-417,882717,VALLEY TRAILS DR & NATIONAL PARK  RD, Unit WB,37.676907,-121.901024,,,,,,0
7-418,882718,VALLEY TRAILS DR & KINGS CANYON CT,,37.674305,-121.906342,,,,,,0
7-419,882719,VALLEY TRAILS DR & MESA VERDE CT.,,37.676292,-121.910149,,,,,,0
4-005,882724,MAPLE ST & SECOND ST, Unit EB,37.68289,-121.765781,,,,,,0
2-088,882726,FIRST ST & INMAN ST,,37.684737,-121.762739,,,,,,0
7-420,882727,VALLEY TRAILS DR & NATIONAL PARK RD, Unit EB,37.67833,-121.903559,,,,,,0
6-030,882728,4500 TASSAJARA, Unit SB & CONNECTING ROAD,37.708775,-121.872277,,,,,,0
2-085,882729,LAS POSITAS RD & NORTH MINES RD, Unit EB,37.699717,-121.761162,,,,,,0
2-090,882769,WALMART OUTBOUND,0 Unit EB & HILLIKER PL,37.698219,-121.769165,,,,,,0
8-148,882784,FIRST ST & NEAL ST, Unit WB,37.659477,-121.874031,,,,,,0
8-149,882785,WILLOW RD & LAS POSITAS BLVD, Unit SB,37.684488,-121.898564,,,,,,0
8-153,882789,HACIENDA DR & STONERIDGE DR, Unit SB,37.690525,-121.894762,,,,,,0
8-152,882790,HACIENDA DR & GIBRALTER DR, Unit NB,37.687662,-121.894382,,,,,,0
5-038,882794,DOUGHERTY RD  & HOUSTON  PL, Unit NB & HOUSTON PL,37.707962,-121.910146,,,,,,0
6-118,882797,FALLON MIDDLE SCHOOL,,37.714942,-121.866073,,,,,,0
7-038,882798,STONERIDGE DR & FRANKLIN DR, Unit WB,37.690778,-121.910097,,,,,,0
8-213,882799,CONCORD ST & BORDEAUX NB,CONCORD ST & ZINFANDEL CT,37.653879,-121.853492,,,,,,0
1-413,882807,JACK LONDON BLVD & TROY  ST, Unit WB & TROY ST,37.689165,-121.793717,,,,,,0
1-414,882808,JACK LONDON BLVD & MURIETTA  BLVD, Unit WB,37.68915,-121.791721,,,,,,0
1-415,882809,JACK LONDON BLVD & ARLINGTON RD,,37.689175,-121.79738,,,,,,0
1-424,882818,OLIVINA AVE & MARIPOSA AVE EB,,37.68281,-121.789464,,,,,,0
1-425,882819,OLIVINA AVE & ALBATROSS  AVE EB, Unit EB & ALBATROSS AVE,37.682866,-121.786521,,,,,,0
1-426,882820,OLIVINA AVE & ADELLE ST EB,,37.682966,-121.779148,,,,,,0
6-038,882837,CENTRAL PKWY &  HACIENDA DR, Unit WB,37.708781,-121.887501,,,,,,0
3-076,882838,STANLEY BLVD & MURRIETA BLVD, Unit WB,37.678275,-121.78684,,,,,,0
7-117,882844,EAST PLEASANTON BART STATION,DE MARCUS BLVD,37.700944,-121.896379,,,,,,0
7-123,882846,EAST DUBLIN BART STATION,IRON HORSE PKWY & UNNAMED ST,37.702604,-121.899348,,,,,,0
7-180,882847,LIVERMORE TRANSIT CENTER,,37.685146,-121.766573,,,,,,0
8-231,882850,RUBY HILL  DR & PALERMO PL, Unit SB,37.631448,-121.812175,,,,,,0
6-409,882855,TASSAJARA RD & CASCADE CREEK LN, Unit SB & CASCADE CREEK LN,37.717745,-121.872078,,,,,,0
5-102,882856,DUBLIN BLVD & SCARLETT CT EB,,37.705672,-121.907013,,,,,,0
5-104,882867,AMADOR VALLEY BLVD & PENN DR, Unit WB,37.714307,-121.920014,,,,,,0
5-073,882870,SILVERGATE DR & AMARILLO RD EB,,37.709098,-121.944217,,,,,,0
5-106,882871,AMADOR VALLEY BLVD & PENN DR, Unit EB,37.714075,-121.920127,,,,,,0
6-040,882872,DUBLIN BLVD & GRAFTON ST, Unit EB & CONNECTING ROAD,37.704808,-121.864501,,,,,,0
6-041,882873,DUBLIN BLVD & KEEGAN EB,,37.704405,-121.859141,,,,,,0
6-039,882874,DUBLIN BLVD & LOCKHART ST, Unit WB,37.704788,-121.857846,,,,,,0
6-015,882876,DUBLIN BLVD & HACIENDA DR, Unit EB & EL CHARRO RD,37.70605,-121.887009,,,,,,0
3-014,882877,RAILROAD AVE & L ST, Unit EB,37.682608,-121.771608,,,,,,0
4-017,882878,RAILROAD AVE & BANKHEAD THEATER,,37.683728,-121.768165,,,,,,0
4-015,882879,EAST AVE &  MADISON AVE, Unit EB,37.679814,-121.742335,,,,,,0
4-016,882880,RAILROAD AVE & MAPLE AVE WB,,37.684101,-121.767487,,,,,,0
7-500,882881,WEST PLEASANTON BART STATION,STONERIDGE MALL RD & STONERIDGE MALL,37.698053,-121.927223,,,,,,0
2-119,882888,JUNCTION AVE & NORTH LIVERMORE AVE,JUNCTION AVE & COUNTY HWY J2,37.689524,-121.772165,,,,,,0
