name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
3231,1000130,1000130,-122.466376,37.75086,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466376 37.75086),0,,
3232,1000131,1000131,-122.466547,37.750699,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466547 37.750699),0,,
3233,1000132,1000132,-122.466261,37.749325,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466261 37.749325),0,,
3234,1000133,1000133,-122.466432,37.749164,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466432 37.749164),0,,
3235,1000134,1000134,-122.4113,37.769807,3,9,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.4113 37.769807),0,,
3238,1000135,1000135,-122.412526,37.770691,3,12,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.412526 37.770691),0,,
3239,1000136,1000136,-122.412492,37.770557,3,9,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.412492 37.770557),0,,
3240,1000137,1000137,-122.41573,37.77333,3,9,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.41573 37.77333),0,,
3241,1000138,1000138,-122.41538,37.77283,3,9,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.41538 37.77283),0,,
3243,1000139,1000139,-122.416891,37.774038,3,9,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.416891 37.774038),0,,
3244,1000140,1000140,-122.41852,37.7755,3,9,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.41852 37.7755),0,,
3245,1000141,1000141,-122.418575,37.775368,3,9,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.418575 37.775368),0,,
3247,1000142,1000142,-122.470706,37.748878,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.470706 37.748878),1,,
3248,1000143,1000143,-122.4703,37.74503,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.4703 37.74503),0,,
3249,1000144,1000144,-122.4703,37.7434,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.4703 37.7434),0,,
3250,1000145,1000145,-122.47017,37.74317,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47017 37.74317),0,,
3251,1000146,1000146,-122.47004,37.7416,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47004 37.7416),0,,
3252,1000147,1000147,-122.47018,37.74153,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47018 37.74153),0,,
3253,1000148,1000148,-122.437213,37.767296,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.437213 37.767296),0,,
3254,1000149,1000149,-122.429088,37.767768,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.429088 37.767768),0,,
3255,1000150,1000150,-122.42913,37.76767,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.42913 37.76767),0,,
3256,1000151,1000151,-122.43584,37.76738,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.43584 37.76738),0,,
3257,1000152,1000152,-122.43578,37.76728,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.43578 37.76728),0,,
3258,1000153,1000153,-122.43327,37.76751,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.43327 37.76751),0,,
3259,1000154,1000154,-122.43356,37.7674,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.43356 37.7674),0,,
3260,1000155,1000155,-122.431105,37.76767,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.431105 37.76767),0,,
3261,1000156,1000156,-122.431277,37.767536,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.431277 37.767536),0,,
3262,1000157,1000157,-122.47217,37.75411,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47217 37.75411),0,,
3263,1000158,1000158,-122.47206,37.75268,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47206 37.75268),0,,
3264,1000159,1000159,-122.47196,37.75081,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47196 37.75081),0,,
3265,1000160,1000160,-122.47183,37.74891,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47183 37.74891),0,,
3266,1000161,1000161,-122.471297,37.743124,3,LBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.471297 37.743124),0,,
3270,1000162,1000162,-122.470381,37.736387,3,57,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.470381 37.736387),0,,
3272,1000163,1000163,-122.47367,37.75811,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47367 37.75811),0,,
3273,1000164,1000164,-122.4737,37.7593,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.4737 37.7593),0,,
3275,1000165,1000165,-122.47351,37.75697,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47351 37.75697),0,,
3276,1000166,1000166,-122.47361,37.7563,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47361 37.7563),0,,
3277,1000167,1000167,-122.47368,37.75636,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47368 37.75636),0,,
3278,1000168,1000168,-122.47321,37.75425,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47321 37.75425),0,,
3279,1000169,1000169,-122.47309,37.7524,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47309 37.7524),0,,
3280,1000170,1000170,-122.47295,37.75054,3,66,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47295 37.75054),0,,
3281,1000171,1000171,-122.410294,37.765658,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.410294 37.765658),0,,
3282,1000172,1000172,-122.410408,37.765595,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.410408 37.765595),0,,
3283,1000173,1000173,-122.428523,37.764579,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.428523 37.764579),0,,
3284,1000174,1000174,-122.426171,37.764763,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.426171 37.764763),0,,
3285,1000175,1000175,-122.426683,37.764567,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.426683 37.764567),0,,
3291,1000176,1000176,-122.419611,37.765152,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.419611 37.765152),0,,
3292,1000177,1000177,-122.41928,37.76502,3,33,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.41928 37.76502),0,,
3293,1000178,1000178,-122.419835,37.764983,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.419835 37.764983),0,,
3295,1000179,1000179,-122.407624,37.7658,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.407624 37.7658),0,,
3296,1000180,1000180,-122.407612,37.765764,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.407612 37.765764),0,,
3299,1000181,1000181,-122.416048,37.765218,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.416048 37.765218),0,,
3300,1000182,1000182,-122.421746,37.764987,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.421746 37.764987),0,,
3301,1000183,1000183,-122.422056,37.764849,3,22,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.422056 37.764849),0,,
3304,1000184,1000184,-122.47391,37.74698,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47391 37.74698),0,,
3305,1000185,1000185,-122.473707,37.746745,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.473707 37.746745),0,,
3306,1000186,1000186,-122.47374,37.74511,3,48,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.47374 37.74511),0,,
3307,1000187,1000187,-122.44768,37.76176,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.44768 37.76176),0,,
3309,1000188,1000188,-122.446702,37.761854,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.446702 37.761854),0,,
3310,1000189,1000189,-122.44898,37.76168,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.44898 37.76168),0,,
3311,1000190,1000190,-122.434979,37.762576,0,F,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.434979 37.762576),1,,
3314,1000191,1000191,-122.437489,37.762415,3,37,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.437489 37.762415),0,,
3322,1000192,1000192,-122.428195,37.76137,3,33,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.428195 37.76137),0,,
3323,1000193,1000193,-122.428138,37.761245,3,33,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.428138 37.761245),0,,
3325,1000194,1000194,-122.435151,37.760952,3,33,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.435151 37.760952),0,,
3326,1000195,1000195,-122.434842,37.760845,3,33,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.434842 37.760845),0,,
3327,1000196,1000196,-122.44354,37.760355,3,33,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.44354 37.760355),0,,
3328,1000197,1000197,-122.44349,37.76024,3,33,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.44349 37.76024),0,,
