trip_id,stop_id,arrival_time,departure_time,stop_sequence,continuous_pickup,continuous_drop_off,start_service_area_radius,end_service_area_radius,departure_buffer
800089-SCH-1909-Blocking-Weekday-30,755009,20:30:00,20:30:00,1,-999,-999,-999.0,-999.0,0
800089-SCH-1909-Blocking-Weekday-30,755000,20:40:00,20:40:00,2,-999,-999,-999.0,-999.0,0
800091-SCH-1909-Blocking-Weekday-30,755006,05:23:00,05:23:00,1,-999,-999,-999.0,-999.0,0
800091-SCH-1909-Blocking-Weekday-30,755000,05:28:00,05:29:00,2,-999,-999,-999.0,-999.0,0
800092-SCH-1909-Blocking-Weekday-30,755000,05:21:00,05:21:00,1,-999,-999,-999.0,-999.0,0
800092-SCH-1909-Blocking-Weekday-30,755006,05:28:00,05:30:00,2,-999,-999,-999.0,-999.0,0
800093-SCH-1909-Blocking-Weekday-30,755006,05:30:00,05:30:00,1,-999,-999,-999.0,-999.0,0
800093-SCH-1909-Blocking-Weekday-30,755000,05:35:00,05:36:00,2,-999,-999,-999.0,-999.0,0
800094-SCH-1909-Blocking-Weekday-30,755000,05:36:00,05:36:00,1,-999,-999,-999.0,-999.0,0
800094-SCH-1909-Blocking-Weekday-30,755006,05:43:00,05:45:00,2,-999,-999,-999.0,-999.0,0
800095-SCH-1909-Blocking-Weekday-30,755006,05:45:00,05:45:00,1,-999,-999,-999.0,-999.0,0
800095-SCH-1909-Blocking-Weekday-30,755000,05:50:00,05:51:00,2,-999,-999,-999.0,-999.0,0
800096-SCH-1909-Blocking-Weekday-30,755000,05:46:00,05:46:00,1,-999,-999,-999.0,-999.0,0
800096-SCH-1909-Blocking-Weekday-30,755006,05:53:00,05:55:00,2,-999,-999,-999.0,-999.0,0
800097-SCH-1909-Blocking-Weekday-30,755006,05:55:00,05:55:00,1,-999,-999,-999.0,-999.0,0
800097-SCH-1909-Blocking-Weekday-30,755000,06:00:00,06:01:00,2,-999,-999,-999.0,-999.0,0
800098-SCH-1909-Blocking-Weekday-30,755000,05:51:00,05:51:00,1,-999,-999,-999.0,-999.0,0
800098-SCH-1909-Blocking-Weekday-30,755006,05:58:00,06:00:00,2,-999,-999,-999.0,-999.0,0
800099-SCH-1909-Blocking-Weekday-30,755006,06:00:00,06:00:00,1,-999,-999,-999.0,-999.0,0
800099-SCH-1909-Blocking-Weekday-30,755000,06:05:00,06:06:00,2,-999,-999,-999.0,-999.0,0
800100-SCH-1909-Blocking-Weekday-30,755000,05:56:00,05:56:00,1,-999,-999,-999.0,-999.0,0
800100-SCH-1909-Blocking-Weekday-30,755006,06:03:00,06:05:00,2,-999,-999,-999.0,-999.0,0
800101-SCH-1909-Blocking-Weekday-30,755006,06:05:00,06:05:00,1,-999,-999,-999.0,-999.0,0
800101-SCH-1909-Blocking-Weekday-30,755000,06:10:00,06:11:00,2,-999,-999,-999.0,-999.0,0
800102-SCH-1909-Blocking-Weekday-30,755000,06:02:00,06:02:00,1,-999,-999,-999.0,-999.0,0
800102-SCH-1909-Blocking-Weekday-30,755006,06:09:00,06:11:00,2,-999,-999,-999.0,-999.0,0
800103-SCH-1909-Blocking-Weekday-30,755006,06:11:00,06:11:00,1,-999,-999,-999.0,-999.0,0
800103-SCH-1909-Blocking-Weekday-30,755000,06:16:00,06:17:00,2,-999,-999,-999.0,-999.0,0
800104-SCH-1909-Blocking-Weekday-30,755000,06:07:00,06:07:00,1,-999,-999,-999.0,-999.0,0
800104-SCH-1909-Blocking-Weekday-30,755006,06:14:00,06:16:00,2,-999,-999,-999.0,-999.0,0
800105-SCH-1909-Blocking-Weekday-30,755006,06:16:00,06:16:00,1,-999,-999,-999.0,-999.0,0
800105-SCH-1909-Blocking-Weekday-30,755000,06:21:00,06:22:00,2,-999,-999,-999.0,-999.0,0
800106-SCH-1909-Blocking-Weekday-30,755000,06:12:00,06:12:00,1,-999,-999,-999.0,-999.0,0
800106-SCH-1909-Blocking-Weekday-30,755006,06:19:00,06:21:00,2,-999,-999,-999.0,-999.0,0
800107-SCH-1909-Blocking-Weekday-30,755006,06:21:00,06:21:00,1,-999,-999,-999.0,-999.0,0
800107-SCH-1909-Blocking-Weekday-30,755000,06:26:00,06:27:00,2,-999,-999,-999.0,-999.0,0
800108-SCH-1909-Blocking-Weekday-30,755000,06:17:00,06:17:00,1,-999,-999,-999.0,-999.0,0
800108-SCH-1909-Blocking-Weekday-30,755006,06:24:00,06:26:00,2,-999,-999,-999.0,-999.0,0
