timetable_id,stop_id,stop_sequence,stop_name,connected_routes
2188,757751,22,Sonoma State University,"10/Cotati, Rohnert Park, Sonoma State University, 26/Sebastopol, Cotati, Rohnert Park, 30/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa, 46/Santa Rosa, Sonoma State University, Cotati Depot, 52/West County Connector"
2189,757751,1,Sonoma State University,"10/Cotati, Rohnert Park, Sonoma State University, 26/Sebastopol, Cotati, Rohnert Park, 30/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa, 46/Santa Rosa, Sonoma State University, Cotati Depot, 52/West County Connector"
2189,757799,2,Camino Colegio & Mitchell (Credo HS),"10/Cotati, Rohnert Park, Sonoma State University, 10T/Cotati, Rohnert Park Tripper, 26/Sebastopol, Cotati, Rohnert Park, 30/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa, 46/Santa Rosa, Sonoma State University, Cotati Depot, 52/West County Connector"
2189,757645,3,Sonoma Mtn Pkwy (Ac Petaluma SRJC),"30/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa"
2189,757457,4,Sonoma Plaza,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael, 40/Sonoma, Petaluma, 53/East County Connector"
2189,757469,5,5th St W & W Napa,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2189,757476,6,Bay St/Verano Ave (ac El Verano PO),"30/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2189,757484,7,Hwy 12 & Verano Ave,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2189,757489,8,Boyes Hot Springs (Sonoma Mission Inn),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2189,757497,9,Hanna Boys Center,"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2189,757501,10,Sonoma Dev Center,"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2189,757503,11,Glen Ellen (Arnold Dr & London Ranch Rd),"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2189,757509,12,Kenwood (Hwy 12 & Greene St),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2189,757409,13,Los Guilicos,"30/Santa Rosa, Sonoma Valley"
2189,757516,14,Pythian Rd & Valley Oaks,"30/Santa Rosa, Sonoma Valley"
2189,757517,15,Oakmont Golf Course,"30/Santa Rosa, Sonoma Valley"
2189,757520,16,Oakmont Dr & White Oak,"30/Santa Rosa, Sonoma Valley"
2189,757527,17,St Francis Ctr (Hwy 12 & Calistoga Rd),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma"
